observed_at,vessel_id,name,imo,mmsi,flag,vessel_type,deadweight,latitude,longitude,speed_knots,cog_degrees,draught_meters,nav_status,destination,position_source,zone,date_utc,hour_utc,is_destination_missing,is_speed_missing,is_draught_missing
2026-03-27T07:41:10Z,,AL KHARRARAH LNG,9976939.0,636024984.0,Liberia,Tanker,94326.0,28.079093333333333,-92.771265,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:41:22Z,,AL KHARRARAH LNG,9976939.0,636024984.0,Liberia,Tanker,94326.0,28.079093333333333,-92.771265,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T06:43:13Z,,VENTURE CREOLE LNG,9960590.0,636025039.0,Liberia,Tanker,94069.0,49.16842166666667,-5.875596666666667,,,,At anchor,,TankerMap AIS1,,2026-03-27,6,True,True,True
2026-03-27T06:46:30Z,,VENTURE CREOLE LNG,9960590.0,636025039.0,Liberia,Tanker,94069.0,49.16842166666667,-5.875596666666667,,,,At anchor,,TankerMap AIS1,,2026-03-27,6,True,True,True
2026-03-27T07:39:36Z,,VENTURE CREOLE LNG,9960590.0,636025039.0,Liberia,Tanker,94069.0,49.16842166666667,-5.875596666666667,,,,At anchor,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:39:48Z,,VENTURE CREOLE LNG,9960590.0,636025039.0,Liberia,Tanker,94069.0,49.16842166666667,-5.875596666666667,,,,At anchor,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:39:59Z,,VENTURE CREOLE LNG,9960590.0,636025039.0,Liberia,Tanker,94069.0,49.16842166666667,-5.875596666666667,,,,At anchor,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:40:11Z,,VENTURE CREOLE LNG,9960590.0,636025039.0,Liberia,Tanker,94069.0,49.16842166666667,-5.875596666666667,,,,At anchor,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:40:23Z,,VENTURE CREOLE LNG,9960590.0,636025039.0,Liberia,Tanker,94069.0,49.16842166666667,-5.875596666666667,,,,At anchor,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:40:35Z,,VENTURE CREOLE LNG,9960590.0,636025039.0,Liberia,Tanker,94069.0,49.16842166666667,-5.875596666666667,,,,At anchor,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:40:46Z,,VENTURE CREOLE LNG,9960590.0,636025039.0,Liberia,Tanker,94069.0,49.16842166666667,-5.875596666666667,,,,At anchor,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:40:58Z,,VENTURE CREOLE LNG,9960590.0,636025039.0,Liberia,Tanker,94069.0,49.16842166666667,-5.875596666666667,,,,At anchor,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:41:10Z,,VENTURE CREOLE LNG,9960590.0,636025039.0,Liberia,Tanker,94069.0,49.16842166666667,-5.875596666666667,,,,At anchor,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:41:22Z,,VENTURE CREOLE LNG,9960590.0,636025039.0,Liberia,Tanker,94069.0,49.16842166666667,-5.875596666666667,,,,At anchor,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T06:43:13Z,,VENTURE ACADIA LNG,9960588.0,636025040.0,Liberia,Tanker,94175.0,42.90331833333333,10.603251666666667,,,,Under way,,TankerMap AIS1,,2026-03-27,6,True,True,True
2026-03-27T06:46:30Z,,VENTURE ACADIA LNG,9960588.0,636025040.0,Liberia,Tanker,94175.0,42.90331833333333,10.603251666666667,,,,Under way,,TankerMap AIS1,,2026-03-27,6,True,True,True
2026-03-27T07:39:36Z,,VENTURE ACADIA LNG,9960588.0,636025040.0,Liberia,Tanker,94175.0,42.90331833333333,10.603251666666667,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:39:48Z,,VENTURE ACADIA LNG,9960588.0,636025040.0,Liberia,Tanker,94175.0,42.90331833333333,10.603251666666667,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:39:59Z,,VENTURE ACADIA LNG,9960588.0,636025040.0,Liberia,Tanker,94175.0,42.90331833333333,10.603251666666667,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:40:11Z,,VENTURE ACADIA LNG,9960588.0,636025040.0,Liberia,Tanker,94175.0,42.90331833333333,10.603251666666667,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:40:23Z,,VENTURE ACADIA LNG,9960588.0,636025040.0,Liberia,Tanker,94175.0,42.90331833333333,10.603251666666667,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:40:35Z,,VENTURE ACADIA LNG,9960588.0,636025040.0,Liberia,Tanker,94175.0,42.90331833333333,10.603251666666667,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:40:46Z,,VENTURE ACADIA LNG,9960588.0,636025040.0,Liberia,Tanker,94175.0,42.90331833333333,10.603251666666667,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:40:58Z,,VENTURE ACADIA LNG,9960588.0,636025040.0,Liberia,Tanker,94175.0,42.90331833333333,10.603251666666667,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:41:10Z,,VENTURE ACADIA LNG,9960588.0,636025040.0,Liberia,Tanker,94175.0,42.90331833333333,10.603251666666667,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:41:22Z,,VENTURE ACADIA LNG,9960588.0,636025040.0,Liberia,Tanker,94175.0,42.90331833333333,10.603251666666667,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T06:43:13Z,,HL PUFFIN LNG,9972385.0,636025069.0,Liberia,Tanker,89033.0,21.558768333333333,91.800705,,,,Under way,,TankerMap AIS1,,2026-03-27,6,True,True,True
